name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"dv2ls-frontend","0.1.0","-","-","-","-","-","-",false,false,false,false,false,""
"@ampproject/remapping","2.2.0","2.2.0","git+https://github.com/ampproject/remapping.git","2022-04-27T03:51:13.056Z","jridgewell (justin+npm@ridgewell.name)",55316,"Apache-2.0",true,false,false,false,false,"@babel/core@7.21.3"
"@jridgewell/gen-mapping","0.1.1","0.3.2","git+https://github.com/jridgewell/gen-mapping.git","2022-04-27T14:35:08.800Z","jridgewell (justin+npm@ridgewell.name)",52350,"MIT",true,false,false,false,false,"@ampproject/remapping@2.2.0"
"@babel/code-frame","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:07.729Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",6979,"MIT",true,false,false,true,false,"@babel/core@7.9.0,@babel/template@7.20.7,@babel/traverse@7.21.3,@testing-library/dom@9.2.0,babel-eslint@10.1.0,parse-json@5.2.0,eslint@6.8.0,jest-message-util@24.9.0"
"@babel/compat-data","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:30:52.895Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",57870,"MIT",true,false,false,false,false,"@babel/helper-compilation-targets@7.20.7,@babel/plugin-proposal-object-rest-spread@7.20.7,@babel/preset-env@7.9.0,babel-plugin-polyfill-corejs2@0.3.3"
"@babel/core","7.21.3","7.21.3","https://github.com/babel/babel.git","2023-03-14T14:59:44.759Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",966059,"MIT",true,false,false,true,false,"@jest/transform@24.9.0,@svgr/plugin-jsx@4.3.3,@svgr/webpack@4.3.3,jest-config@24.9.0,@babel/helper-compilation-targets@7.20.7,@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-create-regexp-features-plugin@7.21.0,@babel/helper-define-polyfill-provider@0.3.3,@babel/helper-remap-async-to-generator@7.18.9,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.18.6,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.20.7,@babel/plugin-proposal-async-generator-functions@7.20.7,@babel/plugin-proposal-class-properties@7.8.3,@babel/plugin-proposal-class-static-block@7.21.0,@babel/plugin-proposal-decorators@7.8.3,@babel/plugin-proposal-dynamic-import@7.18.6,@babel/plugin-proposal-export-namespace-from@7.18.9,@babel/plugin-proposal-json-strings@7.18.6,@babel/plugin-proposal-logical-assignment-operators@7.20.7,@babel/plugin-proposal-nullish-coalescing-operator@7.8.3,@babel/plugin-proposal-numeric-separator@7.8.3,@babel/plugin-proposal-object-rest-spread@7.20.7,@babel/plugin-proposal-optional-catch-binding@7.18.6,@babel/plugin-proposal-optional-chaining@7.9.0,@babel/plugin-proposal-private-methods@7.18.6,@babel/plugin-proposal-private-property-in-object@7.21.0,@babel/plugin-proposal-unicode-property-regex@7.18.6,@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-class-static-block@7.14.5,@babel/plugin-syntax-decorators@7.21.0,@babel/plugin-syntax-dynamic-import@7.8.3,@babel/plugin-syntax-export-namespace-from@7.8.3,@babel/plugin-syntax-flow@7.18.6,@babel/plugin-syntax-import-assertions@7.20.0,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-jsx@7.18.6,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-private-property-in-object@7.14.5,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.20.0,@babel/plugin-transform-arrow-functions@7.20.7,@babel/plugin-transform-async-to-generator@7.20.7,@babel/plugin-transform-block-scoped-functions@7.18.6,@babel/plugin-transform-block-scoping@7.21.0,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-computed-properties@7.20.7,@babel/plugin-transform-destructuring@7.21.3,@babel/plugin-transform-dotall-regex@7.18.6,@babel/plugin-transform-duplicate-keys@7.18.9,@babel/plugin-transform-exponentiation-operator@7.18.6,@babel/plugin-transform-flow-strip-types@7.9.0,@babel/plugin-transform-for-of@7.21.0,@babel/plugin-transform-function-name@7.18.9,@babel/plugin-transform-literals@7.18.9,@babel/plugin-transform-member-expression-literals@7.18.6,@babel/plugin-transform-modules-amd@7.20.11,@babel/plugin-transform-modules-commonjs@7.21.2,@babel/plugin-transform-modules-systemjs@7.20.11,@babel/plugin-transform-modules-umd@7.18.6,@babel/plugin-transform-named-capturing-groups-regex@7.20.5,@babel/plugin-transform-new-target@7.18.6,@babel/plugin-transform-object-super@7.18.6,@babel/plugin-transform-parameters@7.21.3,@babel/plugin-transform-property-literals@7.18.6,@babel/plugin-transform-react-constant-elements@7.21.3,@babel/plugin-transform-react-display-name@7.8.3,@babel/plugin-transform-react-jsx@7.21.0,@babel/plugin-transform-react-jsx-development@7.18.6,@babel/plugin-transform-react-pure-annotations@7.18.6,@babel/plugin-transform-regenerator@7.20.5,@babel/plugin-transform-reserved-words@7.18.6,@babel/plugin-transform-runtime@7.9.0,@babel/plugin-transform-shorthand-properties@7.18.6,@babel/plugin-transform-spread@7.20.7,@babel/plugin-transform-sticky-regex@7.18.6,@babel/plugin-transform-template-literals@7.18.9,@babel/plugin-transform-typeof-symbol@7.18.9,@babel/plugin-transform-typescript@7.21.3,@babel/plugin-transform-unicode-escapes@7.18.10,@babel/plugin-transform-unicode-regex@7.18.6,@babel/preset-env@7.9.0,@babel/preset-modules@0.1.5,@babel/preset-react@7.9.1,@babel/preset-typescript@7.9.0,babel-jest@24.9.0,babel-loader@8.1.0,babel-plugin-named-asset-import@0.3.8,babel-plugin-polyfill-corejs2@0.3.3,babel-plugin-polyfill-corejs3@0.6.0,babel-plugin-polyfill-regenerator@0.4.1,babel-preset-jest@24.9.0,@babel/plugin-transform-react-jsx-self@7.21.0,@babel/plugin-transform-react-jsx-source@7.19.6"
"@babel/generator","7.21.3","7.21.3","https://github.com/babel/babel.git","2023-03-14T14:59:41.307Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",477640,"MIT",true,false,false,false,false,"@babel/core@7.9.0,@babel/traverse@7.21.3,istanbul-lib-instrument@3.3.0"
"@babel/helper-annotate-as-pure","7.18.6","7.18.6","https://github.com/babel/babel.git","2022-06-27T19:50:07.665Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",2689,"MIT",true,false,false,false,false,"@babel/helper-create-class-features-plugin@7.21.0,@babel/helper-create-regexp-features-plugin@7.21.0,@babel/helper-remap-async-to-generator@7.18.9,@babel/plugin-proposal-private-property-in-object@7.21.0,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-react-jsx@7.21.0,@babel/plugin-transform-react-pure-annotations@7.18.6,@babel/plugin-transform-typescript@7.21.3"
"@babel/helper-builder-binary-assignment-operator-visitor","7.18.9","7.18.9","https://github.com/babel/babel.git","2022-07-18T09:17:27.289Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",3428,"MIT",true,false,false,false,false,"@babel/plugin-transform-exponentiation-operator@7.18.6"
"@babel/helper-compilation-targets","7.20.7","7.20.7","https://github.com/babel/babel.git","2022-12-22T09:45:19.219Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",50686,"MIT",true,false,false,false,false,"@babel/core@7.21.3,@babel/helper-define-polyfill-provider@0.3.3,@babel/plugin-proposal-object-rest-spread@7.20.7,@babel/plugin-transform-classes@7.21.0,@babel/plugin-transform-function-name@7.18.9,@babel/preset-env@7.9.0"
"@babel/helper-create-class-features-plugin","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:31:14.019Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",185599,"MIT",true,false,false,false,false,"@babel/plugin-proposal-class-properties@7.8.3,@babel/plugin-proposal-class-static-block@7.21.0,@babel/plugin-proposal-decorators@7.8.3,@babel/plugin-proposal-private-methods@7.18.6,@babel/plugin-proposal-private-property-in-object@7.21.0,@babel/plugin-transform-typescript@7.21.3"
"@babel/helper-create-regexp-features-plugin","7.21.0","7.21.0","https://github.com/babel/babel.git","2023-02-20T15:30:52.961Z","nicolo-ribaudo (nicolo.ribaudo@gmail.com)",26213,"MIT",true,false,false,false,false,"@babel/plugin-proposal-unicode-property-regex@7.18.6,@babel/plugin-transform-dotall-regex@7.18.6,@babel/plugin-transform-named-capturing-groups-regex@7.20.5,@babel/plugin-transform-unicode-regex@7.18.6"
